,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
49,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,2125,Customer,1991,Male,29.0
50,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,5374,Subscriber,1999,Female,26.0
51,16 minutes,22,Howard St at Beale St,350,8th St at Brannan St,1310,Subscriber,1987,Male,27.0
52,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,2531,Subscriber,1999,Female,26.0
53,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1502,Subscriber,1998,Female,26.0
54,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1202,Subscriber,1999,Male,26.0
55,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,377,Subscriber,1999,Male,26.0
56,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,3711,Subscriber,1985,Male,26.0
57,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,2918,Subscriber,1999,Female,26.0
58,10 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5233,Subscriber,1987,Male,27.0
59,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,507,Subscriber,1998,Male,26.0
60,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,608,Subscriber,1999,Male,27.0
61,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,157,Subscriber,1999,Male,27.0
62,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),28,The Embarcadero at Bryant St,4602,Subscriber,1991,Female,27.0
63,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),9,Broadway at Battery St,181,Subscriber,1967,Male,27.0
64,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,3715,Subscriber,1999,Male,29.0
65,10 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5392,Subscriber,1986,Male,29.0
66,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),28,The Embarcadero at Bryant St,1012,Customer,1991,Female,26.0
67,19 minutes,5,Powell St BART Station (Market St at 5th St),70,Central Ave at Fell St,465,Subscriber,1989,Male,26.0
68,19 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,3009,Subscriber,1992,Female,29.0
69,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),377,Fell St at Stanyan St,5105,Subscriber,1992,Male,26.0
70,38 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5271,Subscriber,1988,Male,27.0
71,9 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5125,Subscriber,1988,Male,27.0
72,13 minutes,5,Powell St BART Station (Market St at 5th St),370,Jones St at Post St,5373,Subscriber,1987,Male,26.0
73,20 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,443,Subscriber,1985,Female,26.0
74,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,1920,Subscriber,1990,Male,26.0
75,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,316,Subscriber,1999,Female,27.0
76,18 minutes,22,Howard St at Beale St,72,Page St at Scott St,5162,Subscriber,1980,Female,27.0
77,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),64,5th St at Brannan St,1299,Subscriber,1996,Male,29.0
78,15 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,1547,Subscriber,1990,Female,27.0
79,14 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,3309,Subscriber,1990,Male,29.0
80,22 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),365,Turk St at Fillmore St,3224,Subscriber,1986,Female,26.0
81,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4799,Subscriber,1981,Male,29.0
82,4 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5458,Subscriber,1980,Male,26.0
83,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2568,Customer,1990,Male,27.0
84,79 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2684,Customer,1987,Male,29.0
85,78 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2030,Customer,1987,Male,27.0
86,80 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2086,Customer,1987,Male,27.0
87,5 minutes,5,Powell St BART Station (Market St at 5th St),62,Victoria Manalo Draves Park,1315,Subscriber,1985,Male,27.0
88,6 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,5224,Subscriber,1983,Female,26.0
89,11 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,192,Subscriber,2000,Female,26.0
90,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1159,Subscriber,1986,Female,29.0
91,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1602,Subscriber,1988,Male,26.0
92,22 minutes,21,Montgomery St BART Station (Market St at 2nd St),139,Garfield Square (25th St at Harrison St),4716,Customer,1975,Male,26.0
93,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1465,Subscriber,1999,Female,26.0
94,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,685,Subscriber,1991,Female,29.0
95,10 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,3109,Subscriber,2000,Female,29.0
96,6 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,4383,Subscriber,1985,Male,29.0
97,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),370,Jones St at Post St,4960,Subscriber,1988,Male,26.0
98,18 minutes,16,Steuart St at Market St,116,Mississippi St at 17th St,5262,Subscriber,1989,Female,26.0
99,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,4996,Subscriber,1994,Male,26.0
100,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),77,11th St at Natoma St,4799,Subscriber,1987,Male,29.0
101,10 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,1959,Customer,1990,Male,26.0
102,11 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,5222,Customer,1990,Male,29.0
103,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),60,8th St at Ringold St,5047,Subscriber,1987,Male,26.0
104,10 minutes,81,Berry St at 4th St,345,Hubbell St at 16th St,2499,Subscriber,1988,Male,26.0
105,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),52,McAllister St at Baker St,5518,Subscriber,1993,Male,27.0
106,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,955,Subscriber,1998,Male,26.0
107,5 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,593,Subscriber,2000,Female,27.0
108,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,1514,Subscriber,2000,Male,27.0
109,9 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,5224,Subscriber,1990,Female,26.0
110,8 minutes,5,Powell St BART Station (Market St at 5th St),55,Webster St at Grove St,5528,Subscriber,1996,Male,26.0
111,9 minutes,5,Powell St BART Station (Market St at 5th St),76,McCoppin St at Valencia St,4574,Subscriber,1977,Male,26.0
112,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,2152,Subscriber,2000,Male,27.0
113,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5070,Subscriber,1987,Male,29.0
114,19 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,3491,Subscriber,1961,Male,27.0
115,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,223,Subscriber,1988,Male,27.0
116,3 minutes,3,Powell St BART Station (Market St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2568,Subscriber,1988,Male,27.0
117,8 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,5474,Subscriber,1997,Female,27.0
118,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,5245,Subscriber,1989,Male,26.0
119,19 minutes,16,Steuart St at Market St,85,Church St at Duboce Ave,4814,Subscriber,1970,Male,27.0
120,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,5546,Customer,1977,Female,26.0
121,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),72,Page St at Scott St,1122,Subscriber,1979,Male,29.0
122,27 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,5294,Subscriber,1983,Female,27.0
123,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),23,The Embarcadero at Steuart St,4924,Subscriber,1992,Male,27.0
124,16 minutes,22,Howard St at Beale St,125,20th St at Bryant St,4942,Customer,1958,Male,26.0
125,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,5253,Subscriber,1981,Male,26.0
126,10 minutes,81,Berry St at 4th St,321,5th St at Folsom,4832,Customer,1996,Male,29.0
127,25 minutes,3,Powell St BART Station (Market St at 4th St),134,Valencia St at 24th St,2738,Subscriber,1986,Female,26.0
128,9 minutes,5,Powell St BART Station (Market St at 5th St),73,Pierce St at Haight St,4414,Subscriber,1995,Female,27.0
129,11 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5427,Subscriber,1969,Male,27.0
130,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),75,Market St at Franklin St,6235,Subscriber,1986,Male,26.0
131,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5570,Subscriber,1962,Other,26.0
132,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5328,Subscriber,1989,Female,29.0
133,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,5571,Subscriber,1988,Male,26.0
134,16 minutes,22,Howard St at Beale St,115,Jackson Playground,5332,Customer,1982,Male,26.0
135,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4574,Subscriber,1979,Male,26.0
136,14 minutes,22,Howard St at Beale St,114,Rhode Island St at 17th St,5445,Subscriber,1994,Male,29.0
137,10 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,4413,Subscriber,1978,Male,26.0
138,9 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,5392,Subscriber,1988,Male,29.0
139,17 minutes,22,Howard St at Beale St,356,Valencia St at Clinton Park,5325,Subscriber,1995,Male,26.0
140,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,5222,Subscriber,1995,Male,29.0
141,24 minutes,21,Montgomery St BART Station (Market St at 2nd St),21,Montgomery St BART Station (Market St at 2nd St),5353,Subscriber,1965,Male,27.0
142,8 minutes,5,Powell St BART Station (Market St at 5th St),74,Laguna St at Hayes St,4968,Subscriber,1993,Female,27.0
143,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,5526,Subscriber,1975,Male,27.0
144,18 minutes,21,Montgomery St BART Station (Market St at 2nd St),134,Valencia St at 24th St,5485,Subscriber,1986,Other,26.0
145,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,3397,Subscriber,1992,Female,26.0
146,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4728,Subscriber,1991,Female,27.0
147,14 minutes,5,Powell St BART Station (Market St at 5th St),126,Esprit Park,1338,Subscriber,1984,Male,26.0
148,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),86,Market St at Dolores St,4426,Subscriber,1987,Male,27.0
149,17 minutes,3,Powell St BART Station (Market St at 4th St),85,Church St at Duboce Ave,149,Customer,1984,Male,27.0
150,5 minutes,16,Steuart St at Market St,10,Washington St at Kearny St,3554,Subscriber,1989,Male,27.0
151,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4319,Subscriber,1992,Male,26.0
152,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,5494,Subscriber,1994,Male,26.0
153,32 minutes,21,Montgomery St BART Station (Market St at 2nd St),4,Cyril Magnin St at Ellis St,5027,Subscriber,1975,Male,26.0
154,10 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,5229,Subscriber,1991,Male,26.0
155,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),136,23rd St at San Bruno Ave,5574,Subscriber,1980,Female,27.0
156,11 minutes,3,Powell St BART Station (Market St at 4th St),364,China Basin St at 3rd St,4748,Customer,1996,Male,27.0
157,6 minutes,81,Berry St at 4th St,49,S Park St at 3rd St,3711,Subscriber,1978,Male,26.0
158,6 minutes,16,Steuart St at Market St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6235,Subscriber,1967,Male,26.0
159,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,967,Subscriber,1983,Male,26.0
160,21 minutes,81,Berry St at 4th St,55,Webster St at Grove St,4969,Subscriber,1969,Female,27.0
161,7 minutes,5,Powell St BART Station (Market St at 5th St),43,San Francisco Public Library (Grove St at Hyde St),5530,Subscriber,1990,Female,26.0
162,18 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,5535,Subscriber,1993,Male,29.0
163,19 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,4344,Subscriber,1991,Female,26.0
164,13 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,3616,Subscriber,1991,Male,26.0
165,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3108,Subscriber,1992,Male,26.0
166,1 minutes,3,Powell St BART Station (Market St at 4th St),3,Powell St BART Station (Market St at 4th St),4319,Subscriber,1991,Male,26.0
167,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4968,Subscriber,1993,Female,27.0
168,3 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,1718,Subscriber,1986,Male,26.0
169,8 minutes,22,Howard St at Beale St,4,Cyril Magnin St at Ellis St,1475,Subscriber,1994,Other,26.0
170,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5253,Subscriber,1988,Other,26.0
171,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5114,Customer,1993,Male,26.0
172,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,3432,Subscriber,1988,Male,29.0
173,12 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,4778,Subscriber,1994,Male,26.0
174,9 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),2738,Subscriber,1993,Female,26.0
175,12 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,1565,Customer,1992,Female,29.0
176,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),11,Davis St at Jackson St,5307,Subscriber,1987,Female,27.0
177,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),55,Webster St at Grove St,4953,Subscriber,1992,Female,26.0
178,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),74,Laguna St at Hayes St,4347,Customer,1988,Male,29.0
179,8 minutes,22,Howard St at Beale St,323,Broadway at Kearny,5359,Subscriber,1985,Male,26.0
180,18 minutes,5,Powell St BART Station (Market St at 5th St),109,17th St at Valencia St,4320,Subscriber,1980,Male,27.0
181,11 minutes,22,Howard St at Beale St,104,4th St at 16th St,2473,Subscriber,1982,Male,26.0
182,6 minutes,22,Howard St at Beale St,47,4th St at Harrison St,3225,Subscriber,1986,Male,26.0
183,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,4658,Subscriber,1989,Male,26.0
184,19 minutes,5,Powell St BART Station (Market St at 5th St),144,Precita Park,4553,Subscriber,1994,Female,26.0
185,19 minutes,22,Howard St at Beale St,116,Mississippi St at 17th St,2564,Subscriber,1970,Male,27.0
186,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),4982,Subscriber,1985,Female,27.0
187,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),26,1st St at Folsom St,5110,Subscriber,1948,Male,26.0
188,2 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,5549,Subscriber,1993,Male,27.0
189,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,411,Subscriber,1989,Male,27.0
190,18 minutes,22,Howard St at Beale St,115,Jackson Playground,5407,Subscriber,1986,Male,26.0
191,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),87,Folsom St at 13th St,5282,Customer,1990,Male,27.0
192,10 minutes,22,Howard St at Beale St,66,3rd St at Townsend St,5438,Customer,1990,Female,27.0
193,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),62,Victoria Manalo Draves Park,5381,Subscriber,1990,Female,29.0
194,6 minutes,3,Powell St BART Station (Market St at 4th St),42,San Francisco City Hall (Polk St at Grove St),2550,Subscriber,1979,Male,26.0
195,5 minutes,16,Steuart St at Market St,27,Beale St at Harrison St,643,Subscriber,1981,Male,27.0
196,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),76,McCoppin St at Valencia St,4609,Subscriber,1993,Male,27.0
197,17 minutes,5,Powell St BART Station (Market St at 5th St),142,Guerrero Park,4928,Subscriber,1993,Male,27.0
198,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,2113,Subscriber,1987,Male,27.0
199,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),78,Folsom St at 9th St,5550,Subscriber,1994,Male,27.0
200,9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,4969,Customer,1975,Male,27.0
201,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3109,Subscriber,1982,Male,29.0
202,22 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,5423,Customer,1993,Male,26.0
203,23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,5226,Subscriber,1981,Male,27.0
204,23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),97,14th St at Mission St,4820,Customer,1993,Male,29.0
205,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),350,8th St at Brannan St,1396,Subscriber,1997,Male,26.0
206,17 minutes,30,San Francisco Caltrain (Townsend St at 4th St),371,Lombard St at Columbus Ave,5051,Subscriber,1984,Male,26.0
207,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),116,Mississippi St at 17th St,5463,Subscriber,1988,Female,26.0
208,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,4716,Subscriber,1984,Male,26.0
209,6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,4768,Subscriber,1988,Male,29.0
210,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4344,Subscriber,1984,Female,26.0
211,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,4601,Subscriber,1985,Female,27.0
212,13 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,4613,Customer,1981,Male,26.0
213,3 minutes,22,Howard St at Beale St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),1514,Customer,1994,Male,27.0
214,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),60,8th St at Ringold St,2174,Subscriber,1979,Male,27.0
215,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),967,Subscriber,1987,Male,26.0
216,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),91,Berry St at King St,4780,Subscriber,1982,Male,29.0
217,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,4426,Subscriber,1988,Male,27.0
218,2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),79,7th St at Brannan St,5458,Subscriber,1975,Male,26.0
219,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),109,17th St at Valencia St,5029,Subscriber,1988,Female,26.0
220,10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),30,San Francisco Caltrain (Townsend St at 4th St),2960,Subscriber,1991,Female,26.0
221,7 minutes,3,Powell St BART Station (Market St at 4th St),19,Post St at Kearny St,5570,Subscriber,1995,Male,26.0
222,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),364,China Basin St at 3rd St,2481,Subscriber,1989,Male,29.0
223,19 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,2238,Subscriber,1984,Male,29.0
224,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,5561,Subscriber,1988,Male,27.0
