0,1,2,3,4,5,6,7,8,9,10,11
computer,moth,often,book|author=christopher,goals,|rank=,microcomputer.jpg|x77pxfile,rochkind,incorrect,two,may,hthreads
software,taped,resulting,elisan|title=malware,obtaining,file,dell,first,code,modes,handled,rd
information,page,kernel,rootkits,information,us-o7,poweredge,marc,program,operation,gracefully,glossary
processed,terms,panic,botnets,vary,insignia.svg|24px,servers.jpg|x77px,j,contains,full,execution,--
computer,``,fatal,beginner,widely,rear,|caption,title,large,partial,resume,bot
systems,bug,system,'s,everyday,admiral,computers,advanced,number,simulation,interrupted,generated
computer,'',error,guide|url=https,socially,united,computing,unix,bugs,limit,alternative,title
program|programs,``,crashes,//books.google.com/books,beneficial,states,devices,programming,and/or,impact,approaches,--
data,debugging,result,id=josfllpg1kkc,actions,|rear,different,second,bugs,``,exception,1960s
computer,'',executing,pg=pa10|date=5,criminal,admiral,eras,edition,seriously,trap,handling,high-level
software,popularly,invalid,september,actions,lower,--,publisher,interfere,computing,software,programming
includes,attributed,instruction,2012|publisher=mcgraw,depending,half,paragraph,addison-wesley,functionality,|trap,error,languages
computer,admiral,set|machine,hill,upon,|branch=,currently,year,said,'',checking,using
programs,grace,instructions,professional|isbn=978-0-07-179205-9|pages=10–,situation,flag|united,discussion,2004,''buggy,occurs,maintains,compiler
library,hopper,typical,first,often,states,talk,page,'',program,normal,commonly
computing,1940s,causes,category,intellectual,navy,--,1.1.2,defective,normally,program,called
|libraries,http,include,malware,property,|commands=,'',performs,bugs,continue,flow,''
related,//foldoc.org/grace+hopper,incorrect,propagation,rights,|awards=file,computer,specific,trigger,software,later,autocodes
non-executable,grace,address,concerns,breached,defense,'',task,errors,bug|programming,explicit,''
data,hopper,space|address,parasitic,person,distinguished,device,execution,may,bug,checks,'.
computing,foldoc,values,software,business,service,computer,computing,ripple,invalid,contingencies,ref
|data,working,program,fragments,recollect,ribbon.svg|border|22px,programming|instructed,|executed,effects,data,reported,name=kleith
software,harvard,counter,attach,something,defense,carry,computer,bugs,example,using,cite
documentation|online,mark,buffer,existing,done,distinguished,arbitrary,computer,may,program,special,book|last=london|first=keith|title=introduction
documentation,ii|mark,overflow,executable,something,service,set,requires,subtle,might,return,computers|year=1968|publisher=faber
digital,ii,overwriting,content,needs,medal,arithmetic,programs,effects,tried,values,faber
media,computer,portion,fragment,reverse,br,boolean,function,cause,use,auxiliary,limited|location=24
computer,harvard,affected,may,engineer,file,algebra|logical,typically,program,instruction,global,russell
hardware,university,program,machine,work,legion,operations,executes,crash,available,variable,square
software,associates,code,code,reverse,merit,automatically,program,computing,current,c,london
require,discovered,due,infects,engineering,ribbon.svg|border|22px,ability,'s,|crash,version,'s,wc1|isbn=0571085938|page=184|chapter=4
neither,moth,earlier,existing,also,legion,computers,instructions,freeze,central,errno|,programming|quote=the
realistically,stuck,computer,application,beneficial,merit,follow,central,computing,processing,c-lang|errno,'high
used,relay,bug|bug,utility,crime,br,sequence,processing,|freeze,unit|cpu,floating,level
lowest,thereby,accessing,system,prevention,file,operations,unit.,computer,attempted,point,programming
level,impeding,invalid,program,suspected,meritorious,called,ref,others,access,status,languages
executable,operation,memory,even,malware,service,''computer,name=,qualify,unavailable,flags,often
code,whereupon,addresses,code,reverse,ribbon.svg|border|22px,program|program,'',security,memory,input,called
consists,remarked,using,used,engineered,meritorious,'',osc-ch3-p58,bugs,protection|protected,validation,autocodes
machine,``,illegal,boot,understand,service,make,'',might,memory,premptively,processor
code|machine,debugging,opcode,computer,anti-virus|how,medal,computers,cite,example,computers,filter,program
language,'',triggering,system.,detect,usa,applicable,book,enable,|memory,exceptional,compiler
instructions,system,unhandled,ref,remove,|meritorious,wide,last,black,program,cases,--
specific,however,exception,name=,allow,service,range,silberschatz,hat,``,programmers,book
individual,term,handling|exception,'',computers,medal,tasks,first,hacking|malicious,traps,write,isbn
microprocessor|processor—typically,``,original,stallings,devices,br,computers,abraham,user,'',software,number
central,bug,software,2012,work,file,used,title,bypass,reaches,'',instead
processing,'',bug,p.182,together,american,control,operating,access,preset,error,sbn
unit,meaning,started,``,``,campaign,systems,system,controls,condition,reporting,number
cpu,technical,chain,cite,interoperate,medal,wide,concepts,order,debugger,'',typo
machine,error,events,book,'',ribbon.svg|border|22px,variety,fourth,privilege,typically,features,previous
language,dates,typically,last=stallings,allow,american,programmable,edition,escalation|obtain,shows,collect,sentence.
consists,back,considered,first=william,saved,campaign,logic,publisher,unauthorized,location,details,--
groups,least,cause,title=computer,files,medal,controller|industrial,addison-wesley,privileges,original,may,examples
binary,1878,crash,security,obsolete,br,consumer,year,bugs,code,helpful,autocodes
numbers|binary,thomas,discovered,principles,systems,file,electronics|consumer,1994,code,'',fixing,cobol
values,edison,process,practice,used,world,devices,page,controls,source-level,problem,fortran.
signifying,see,debugging,publisher=pearson,newer,war,includes,59,therac-25,debugger,display,ref
processor,software,original,location=boston,systems,ii,simple,isbn,radiation,'',details,name=kleith2
instructions,bug,bug,year=2012,contrast,victory,special,0-201-50480-4,therapy,'',screen,cite
change,full,far,isbn=978-0-13-277506-9,reverse,medal,purpose,computer,machine,symbolic,store,book|last=london|first=keith|title=introduction
state,discussion,removed,page=182,engineering,ribbon.svg|border|22px,devices,program,directly,debugger,file,computers|year=1968|publisher=faber
computer,``,source,malware,also,world,like,usually,responsible,'',core,faber
preceding,debugging,code|code,defined,used,war,microwave,written,patient,commonly,dump,limited|location=24
state,'',actually,malicious,software,ii,ovens,computer,deaths,seen,cases,russell
example,seems,crashed,intent,cracking|,victory,remote,programmer,1980s,integrated,motorola,square
instruction,used,earlier,acting,'',medal,controls,programming,1996,development,q,london
may,term,personal,requirements,crack,br,factory,language,european,environments,error,wc1|isbn=0571085938|page=186|chapter=4
change,aeronautics,computers,computer,'',file,devices,program,space,'',reporting|automatic,programming|quote=two
value,entering,attempting,user,software,national,industrial,human-readable,agency,low-level,error,high
stored,world,write,include,media,defense,robots,form,'s,debugger,reporting,level
particular,computers,data,software,remove,service,computer,source,us,'',system,programming
storage,indeed,hardware,causes,copy,medal,assisted,code,1,'',windows,languages
location,interview,addresses,unintentional,protection,ribbon.svg|border|22px,design,compiler,nbsp,machine-language,error,used
computer—an,grace,outside,harm,ref,national,also,derive,billion,debugger,reporting,examples
effect,hopper,system,due,name=,defense,general,machine,ariane,'',automatically,illustrate
directly,remarked,'s,deficiency,'',service,purpose,code—a,5,shows,phoning,structure
observable,coining,main,malware,eilam,medal,devices,form,flight,line,home|phone,purpose
user,term,memory,may,'',br,like,consisting,501|prototype,disassembly,home,autocodes
instruction,citation,could,stealthy,rp|5,file,personal,instructions,ariane,unless,email,cobol
may,needed|date=july,cause,intended,create,afrm,computers,computer,5,also,details,common
also,2015,hardware,steal,possibly,hourglass,mobile,directly,rocket,online,programmers,business
indirectly,moth,damage,information,improved,device,devices,execute,destroyed,access,exception,oriented
cause,fit,crashes,spy,copying|copy,silver,smartphones,alternatively,less,original,handling,language
something,already,exploit,computer,even,.jpg|border|22px,internet,computer,minute,source,hardware,fortran
appear,existing,computer,users,knockoff,armed,run,program,launch,code,hardware,formular
display,terminology,security,extended,usually,forces,computers,may,due,display,exception,translation
computer,saved,|exploitable,period,goal,reserve,connects,executed,bug,appropriate,mechanisms,--
system—a,letter,allow,without,competitor.,medal,millions,aid,on-board,section,processed,book
state,j.,malicious,knowledge,ref,two,computers,interpreter,guidance,code,cpu,isbn
change,robert,program,example,name=,hourglass,since,computing,computer,assembly,intended,number
visible,oppenheimer,hacker,regin,'',devices,ancient,|interpreter,program,compilation,support,instead
user,director,execute,malware,eilam,br,times,part,june,==features==,error,sbn
processor,wwii,arbitrary,|regin,'',file,simple,computer,1994,typically,detection,number
carries,atomic,code,may,rp|4,naval,manual,program,royal,debuggers,redirects,typo
instructions,bomb,execution|arbitrary,designed,reverse,reserve,devices,performs,air,offer,program,previous
order,``,code,cause,engineering,medal,like,well-defined,force,query,flow,sentence.
provided,manhattan,allowing,harm,origins,ribbon.svg|border|22px,abacus,task,ch-47,processor,error,--
unless,'',replication,often,analysis,naval,aided,known,chinook|chinook,symbol,handling,first
instructed,project,computer,sabotage,hardware,reserve,people,algorithm,helicopter,resolver,service,high-level
branch,los,virus|viruses,e.g.,commercial,medal,calculations,collection,1994,expression,routines,programming
instruction|,alamos,acquisition,stuxnet,military,br,early,computer,scotland,interpreter,state,language
'',nm,data,extort,advantage.,file,industrial,programs,raf,debug,exception,designed
jump,used,would,payment,ref,presidential,revolution,library,chinook,support,saved,computers
'',term,normally,cryptolocker,name=,medal,mechanical,computing,crash|crashed,interface,stack,plankalkül
different,letter,inaccessible,'malware,'',freedom,devices,|libraries,mull,top,cite,created
instruction,dr.,application,umbrella,chikofsky,ribbon,built,related,kintyre,level.aggarwal,web,konrad
interrupted,ernest,crashes,term,'',.png|border|22px,automate,data,killing,kumar,url,zuse.giloi
multi-core,lawrence,image,used,cite,presidential,long,computing,29.,p.,http,wolfgang
processors,uc,computer,refer,journal,medal,tedious,|data,initially,302.,//processors.wiki.ti.com/,k.
dominant,berkeley,crash,variety,|doi=10.1109/52.43044,freedom,tasks,referred,dismissed,debuggers,title,1997
core,dated,airport.jpg|thumb|a,forms,|first=e,posthumous,guiding,software,pilot,also,hardware,``
run,october,display,hostile,j,|relations=,patterns,computer,error,offer,exceptions,konrad
instructions,27,frankfurt,intrusive,|last=chikofsky,|laterwork=,looms,programs,investigation,sophisticated,detection,zuse
order,1944,airport,software,|lastauthoramp=yes,'',sophisticated,may,''computer,functions,date,'s
however,http,running,ref,|first2=j,grace,electrical,categorized,weekly,running,2011-11-24,plankalkül
application,//bancroft.berkeley.edu/exhibits/physics/images/bigscience25.jpg,program,cite,h.,brewster,machines,along,'',program,publisher,first
software,regarding,windows,web|url=http,ii,murray,specialized,functional,convinced,stepping,texas,high-level
runs,recruitment,xp,//technet.microsoft.com/en-us/library/dd632948.aspx|title=defining,|last2=cross,hopper,analogue,lines,house,debugging,instruments,``
one,additional,crashed,malware,|title=reverse,'',electronics|analog,application,lords,|step,archiveurl,non
core,technical,due,faq|publisher=technet.microsoft.com|accessdate=10,engineering,née|,calculations,software,inquiry,step,http,von
default,staff,segmentation,september,design,'',early,system,may,'',//processors.wiki.ti.com/index.php/hardware_exceptions_detection,neumann
software,oxford,fault|memory,2009,recovery,'murray,20th,software,caused,single-stepping,archivedate,''
made,english,read,including,taxonomy,'',century,==history==,software,'',2011-11-24,programming
run,dictionary,access,computer,|journal=ieee,december,first,see,bug,program,quote,language
many,entry,violation,viruses,software,9,digital,also|history,aircraft,animation,accessdate,''
majority,``,software,computer,|volume=7,1906,data|digital,computing|history,'s,stopping,2012-10-05,ieee
software,debug,application|application,worm|worms,|issue=1,–,electronic,programming,fadec|engine,'',hardware,annals
written,'',typically,trojan,|pages=13–17,january,calculating,languages|history,control,breaking,exception,history
high-level,quotes,crashes,horse,|year=1990,1,machines,software,computer,'',handling/traps,computing
programming,term,performs,computing,rp|13,1992,developed,===early,cite,pausing,ieee,vol
languages,``,operation,|trojan,however,american,world,programmable,web|author=prof,program,754,19
easier,debugging,allowed,horses,reverse,computer,war,machines===,simon,examine,floating,2
efficient,'',operating,ransomware,engineering,scientist,ii,earliest,rogerson,current,point,pp.
programmers,used,system,malware,process,united,speed,programmable,|url=http,state,exception,nbsp
meaning,reference,operating,|ransomware,concerned,states,power,machines,//www.ccsr.cse.dmu.ac.uk/resources/general/ethicol/ecv12no2.html,event,handling,17–24
closer,airplane,system,spyware,creating,navy,versatility,preceded,|title=the,specified,ieee,april–june
natural,engine,triggers,adware,copy,rear,computers,history,chinook,instruction,754,1997
language,testing,exception,scareware,changing,admiral,increased,computing,helicopter,means,floating,http
cite,1945,handling|exception,malicious,artifact,united,continuously,hardware|invention,disaster,breakpoint,point,//doi.ieeecomputersociety.org/10.1109/85.586068
web|title=compiler,article,signal,programs,way,states,dramatically,digital,|publisher=ccsr.cse.dmu.ac.uk,tracking,dealing,abstract
construction|url=http,journal,computing,--,analysis,|rear,since,computer,|accessdate=september,values,exceptional,however
//www.cs.uu.nl/education/vak.php,royal,|signal,rootkits,order,admiral,conventionally,1801,24,variables.aggarwal,cases|floating,implemented
vak=infomcco,aeronautical,application,keyloggers,deductive,cite,modern,joseph-marie,2012,kumar,point,time
high-level,society,unix,dialers,reasoning|deduce,news|url,computer,jacquard,2002,2003,hardware,original
languages,article,applications,bhos,design,http,consists,devised,study,p.,standard,contributions
translated,``,traditionally,types,features,//content.yudu.com/a2qfj4/201403march/resources/3.htm|title,least,jacquard,commissioned,301.,refers,due
machine,airforce,responded,malware,products,amazing,one,loom|loom,us,debuggers,general,world
language,'',signal,function,little,grace,processing,would,department,ability,exceptional,war
using,june,core,groups,additional,rear,element,weave,commerce,modify,conditions,ii
compiler,1945,dump|dumping,necessarily,knowledge,adm.,typically,pattern,'s,program,defines,largely
interpreter,p.,core,even,procedures,grace,central,following,national,state,exception,isolated
computing,nbsp,windows,typically,involved,hopper,processing,series,institute,running,``,developments
|interpreter,50,unix,malware,original,usn,unit,perforated,standards,may,event,although
combination,also,graphical,would,production.,pioneer,cpu,cards,technology,also,occurs,influenced
two,refers,user,incorrect,ref,computer,form,patterns,concluded,possible,operation,heinz
software,debugging,interface|gui,assert,name=,science|first,memory,could,``,continue,particular,rutishauser
may,time,applications,malware,'',mark|last,computers,weaved,software,execution,operands,'s
also,aircraft,respond,includes,chikofsky,cantrell|magazine,|memory,repeated,bugs,different,outcome,language
written,cameras,displaying,say,'',military,processing,arranging,errors,location,suitable,``
low-level,hopper,dialogue,drivers,rp|15,officer|publisher,element,cards.,prevalent,program,every,superplan
assembly,'s,box,macros.,cases,military,carries,ref,detrimental,bypass,reasonable,''
language,computer,one,--,goal,officers,arithmetic,name=,cost,crash,application,degree
essentially,bug|bug,shown,take,reverse,association,logical,'',us,logical,operation,also
vaguely,found,right,form,engineering,america|volume,operations,eniac-ch1-p16,economy,error,might,algol
mnemonic,september,option,executable,process,12|issue,sequencing,'',estimated,functionality,signal,first
representation,9,attach,code,simply,3|pages,control,cite,59,makes,one,really
machine,1947.,debugger,script,documentation|redocumentation,52–55,unit,book,nbsp,debugger,exceptions,widespread
language,term,one,computing,legacy,106|date,change,last,billion,useful,invoking,high-level
using,adopted,installed,|scripts,systems.,march,order,mccartney,annually,eliminating,default,language
natural,computer,applications,active,ref,2014|accessdate,operations,first,0.6,bugs,explicitly,fortran
language,programmers,attempt,content,name=,march,response,scott,percent,allows,requested,machine
alphabet,early,recover,software.,'',1,stored,title,gross,used,language-defined,independent
translated,1950s,error,ref,chikofsky,2014,data|information,eniac,domestic,software,alternate,development
machine,seminal,continue,cite,'',1944,peripheral|peripheral,–,product,cracking,handling,ibm
language,article,running,web|url=https,rp|15,one,devices,triumphs,'',tool,'','s
using,gills,instead,//ics-cert.us-cert.gov/sites/default/files/recommended_practices/casestudy-002.pdf,ref,first,include,tragedies,cite,evade,default,earlier
assembly,gill,exit,|title=an,name=,programmers,input,world,web|url=http,copy,ieee,autocode
language|assembler,http,system,undirected,'',harvard,devices,'s,//www.nist.gov/public_affairs/releases/n02-10.htm,protection,754,systems
history,//www.jstor.org/stable/98663,call,attack,nelson96,mark,keyboards,first,|title=software,digital,exception,algol|algol
main,diagnosis,|exiting,critical,'',computer,mice,computer,bugs,rights,resumable,defined
article|history,mistakes,typical,infrastructure,survey,http,joystick,publisher,cost,management,handled,1958
software,programmes,errors,|publisher=united,reverse,//chsi.harvard.edu/exhibitions/harvard-mark-l,etc,walker,us,software,substituting,1960
outline,edsac,result,states,engineering,mark,output,company,economy,protection,predefined,committees
algorithm,proceedings,application,computer,program,computer,devices,year,dear,features,value,european
would,royal,crashes,emergency,comprehension,harvard,monitor,1999,|publisher=web.archive.org,often,different,american
first,society,include,readiness,michael,university,screens,page,|date=june,also,exceptions,computer
piece,london,attempting,team,l.,invented,printers,16,10,makes,e.g,scientists
software,series,read,us-cert.gov,nelson,first,etc,isbn,2009,useful,infinity,introduced
written,mathematical,write,|date=,april,compiler,input/output,0-8027-1348-3,|accessdate=september,general,divide,recursion
ada,physical,memory,format=pdf|,19,computer,devices,===analytical,24,verification,zero,well
lovelace,sciences,allocated,accessdate=28,1996,programming,perform,engine===,2012,tool,exception,nested
19th,vol,reading,september,odu,language.,functions,file,|deadurl=unfit,fault,providing,functions
century,206,writing,2014,cs,ref,e.g.,diagram,|archiveurl=https,coverage,floating,lexical
planned,1087,application,malware,551,name=,2000s-era,computation,//web.archive.org/web/20090610052743/http,profiling,point,scope
analytical,may,segmentation,often,nbsp,'',touchscreen,bernoulli,//www.nist.gov/public_affairs/releases/n02-10.htm,computer,dealing,also
engine,22,fault,disguised,–,wexelblat81,peripheral,numbers.jpg|thumb|right|lovelace,|archivedate=june,programming,exceptional,first
however,1951,x86,embedded,software,'',devices,'s,10,|performance,cases|status,language
neither,pp,specific,non-malicious,engineering,cite,allow,diagram,2009,analyzer,flags,clear
analytical,538-554,general,files,survey,book,information,note,etymology,especially,later,distinction
engine,1951,protection,of|2011,arxiv|cs/0503068v1,|author=,retrieved,g,term,instruction,checking,call
software,earliest,fault,majority,even,richard,external,ada,``,path,whether,value|value
ever,in-depth,attempting,active,product,l.,source,lovelace,bug,lengths,exception,call
created,discussion,execute,malware,reverse,wexelblat,enable,first,'',shown.aggarwal,occurred,name|name-parameters
first,programming,privileged,threats,engineered,ed,result,computer,describe,kumar,see,corresponding
theory,errors,invalid,worms,competitor,|title=,operations,program|first,defects,pp,c99,semantics.although
software—prior,use,instructions,trojans,goal,history,saved,published,part,307-312.,ieee,lacked
creation,term,attempting,rather,may,programming,retrieved,computer,engineering,mainstream,nbsp,notion
computers,``,perform,viruses.,copy,languages,toc,algorithm,jargon,debugging,754,call
know,bug,i/o,ref,perform,|year=,limit|3,1837,many,engines,floating,reference|reference-parameters
today—was,'',operations,cite,competitor,1981,etymology,charles,decades,gdb,point,could
proposed,``,computer,web|url=http,analysis.,|location=,according,babbage,predates,dbx,support|c99,problem
alan,debugging,hardware|hardware,//www.microsoft.com/security/sir/story/default.aspx,ref,new,''oxford,inspired,computers,debugger,programming,situations
turing,'',devices,10year_malware,name=,york,english,jacquard,computer,|dbx,language,several
1935,association,permission,|title=evolution,'',|publisher=,dictionary,'s,software,provide,typical,successors
essay,computing,access,malware-malware,rajafernandes2007,academic,'',loom,may,console-based,example,including
''computable,machinery|acm,passing,trends,'',press,first,attempt,originally,command,handling,algolw
numbers,'s,invalid,|publisher=microsoft.com,cite,|isbn=,known,build,used,line,ieee,algol68
application,digital,arguments,|date=,book|author1=vinesh,0-12-745040-8,use,analytical,hardware,interfaces,754,simula
entscheidungsproblem,library,system,work=microsoft,raja|author2=kiran,ref,word,engine.,engineering,debugger,exceptions,pascal
'',term,calls,security,j.,name=,``,ref,describe,front-ends,exception-handling,programming
decision,``,attempting,intelligence,fernandes|title=reverse,'',computer,name=,mechanical,popular,style,language
problem,debugging,access,report-featured,engineering,spencer85,'','',malfunctions,extensions,enabled,|pascal
eventually,'',system,articles,industrial,'',1613,eniac-ch1-p16,instance,debugger,use,modula
led,first,resources,|accessdate=28,perspective|year=2007|publisher=springer,cite,book,'',thomas,engines,status,ada
creation,used,application,april,science,book,called,names,edison,provide,flags,programming
twin,three,permission,2013,business,|author=,''the,components,wrote,integrated,involves,language
academic,papers,access,law,media|isbn=978-1-84628-856-2|page=3,donald,yong,calculating,following,developer,first,|ada
fields,1952,attempting,malware,reverse,d.,mans,device,words,environment|ide,computing,therefore
computer,acm,execute,sometimes,engineering,spencer,gleanings,borrowed,letter,integration,expression,included
science,national,machine,known,may,|title=,'',textile,associate,program,using,reference-parameters
software,meetings.robert,instructions,'',also,computers,english,industry,1878,animation,fast,related
engineering,v.,bad,computer,used,information,writer,textile,quote|it,visualization,direct,c-language
study,d.,arguments,contaminant,create,processing,richard,industry,inventions,features,implementation,family
software,campbell,depending,'',interoperability|interoperable,|year=,braithwait,yarn,first,===,checking,instead
creation,http,cpu,legal,products,1985,``,brought,step,anchor|reverse,whether,allowed
computer,//portal.acm.org/citation.cfm,architecture,codes,despite,|publisher=,haue,store,intuition,debugging,failed,addresses
science,id=609784.609786,division,several,narrowly,c.e,sic,milled,comes,reverse,testing,''
theoretical,evolution,zero|divide,united,tailored,merrill,read,device,burst,debugging===,status,value
turing,automatic,zero,states|u.s,us,publishing,truest,would,difficulties,--,flags,''
's,computation,operations,states.,eu,co,computer,``,arise—this,least,necessary,'-parameters
essay,proceedings,denormal,ref,legislation,|isbn=,times,store,thing,six,calling,algol
example,1952,number|denorms,cite,legality,978-0-675-20290-9,best,'',gives,pages,slower,also
computer,acm,nan,web|,using,ref,arithmetician,—memory,``,redirect,numerically,introduced
science,national,values,publisher=national,specific,name=,euer,hold,bugs,section,robust,several
software,meeting,memory,conference,reverse,'',sic,"1,000",'',please,implementation.,structured
engineering,pittsburgh,access,state,engineering,laplante01,breathed,numbers,—as,remove,ref,programming
focuses,p,bus,legislatures,techniques,'',reduceth,40,little,section,name=,concepts
practical,29-32,error|unaligned,|url=http,purpose,cite,thy,decimal,faults,rename,'',''
concerns,1952.alex,addresses,//www.ncsl.org/issues-research/telecom/state-virus-and-computer-contaminant-laws.aspx|,hotly,book,dayes,digits,difficulties,anchor,xiaoye,while-do
however,orden,etc,title=virus/contaminant/destructive,contested,|author=,short,numbers,called—show,without,li,''
prior,http,web,transmission,courts,phillip,number,``,months,first,james,''
1946,//portal.acm.org/citation.cfm,server,statutes,worldwide,a.,'',store,intense,getting,demmel,if-then-else
software,id=609784.609793,crashes,state|,two,laplante,usage,'',watching,consensus,1994,''
understand,solution,software,date=2012-02-14|,decades.,|title=,term,would,study,talk,983–992,constructs
it—programs,systems,running,accessdate=26,ref,dictionary,referred,transferred,labor,page,'',syntax
stored,linear,web,august,name=,computer,person,``,requisite,--,cite,first
memory,inequalities,server,2013,'',science,carried,mill,commercial,debuggers,journal,described
stored-program,digital,behind,ref,bandkatoh2011,engineering,calculations,'',success,include,|author1=xiaoye,formal
digital,computer,website,cite,'',technology,computations,analogous,failure,feature,li,method
computers—did,proceedings,may,web|url=http,cite,|year=,word,cpu,certainly,called,|author2=james,backus–naur
yet,1952,crash,//jcots.state.va.us/2005,book|author1=jonathan,2001,continued,modern,reached.,``,demmel,form
exist,acm,rendering,20content/pdf/computer,band|author2=masanobu,|publisher=,meaning,machine,ref,'',title=faster,bnf
first,national,inaccessible,20contamination,katoh|title=interfaces,crc,middle,processing,name=,reverse,numerical,roughly
