names,primary_types,secondary_types
Croagunk,Poison,Fighting
Crobat,Poison,Flying
Croconaw,Water,
Crustle,Bug,Rock
Cryogonal,Ice,
Cubchoo,Ice,
Cubone,Ground,
Cyndaquil,Fire,
Darkrai,Dark,
DarmanitanStandard Mode,Fire,
DarmanitanZen Mode,Fire,Psychic
Darumaka,Fire,
Dedenne,Electric,Fairy
Deerling,Normal,Grass
Deino,Dark,Dragon
Delcatty,Normal,
Delibird,Ice,Flying
Delphox,Fire,Psychic
Dewgong,Water,Ice
Dewott,Water,
Dialga,Steel,Dragon
Diancie,Rock,Fairy
Diggersby,Normal,Ground
Diglett,Ground,
Ditto,Normal,
Dodrio,Normal,Flying
Doduo,Normal,Flying
Donphan,Ground,
Doublade,Steel,Ghost
Dragalge,Poison,Dragon
Dragonair,Dragon,
Dragonite,Dragon,Flying
Drapion,Poison,Dark
Dratini,Dragon,
Drifblim,Ghost,Flying
Drifloon,Ghost,Flying
Drilbur,Ground,
Drowzee,Psychic,
Druddigon,Dragon,
Ducklett,Water,Flying
Dugtrio,Ground,
Dunsparce,Normal,
Duosion,Psychic,
Durant,Bug,Steel
Dusclops,Ghost,
Dusknoir,Ghost,
Duskull,Ghost,
Dustox,Bug,Poison
Dwebble,Bug,Rock
Eelektrik,Electric,
Eelektross,Electric,
Eevee,Normal,
Ekans,Poison,
Electabuzz,Electric,
Electivire,Electric,
Electrike,Electric,
Electrode,Electric,
Elekid,Electric,
Elgyem,Psychic,
Emboar,Fire,Fighting
Emolga,Electric,Flying
Empoleon,Water,Steel
Entei,Fire,
Escavalier,Bug,Steel
Espeon,Psychic,
Espurr,Psychic,
Excadrill,Ground,Steel
Exeggcute,Grass,Psychic
Exeggutor,Grass,Psychic
Exploud,Normal,
Farfetch'd,Normal,Flying
Fearow,Normal,Flying
Feebas,Water,
Fennekin,Fire,
Feraligatr,Water,
Ferroseed,Grass,Steel
Ferrothorn,Grass,Steel
Finneon,Water,
Flaaffy,Electric,
Flabébé,Fairy,
Flareon,Fire,
Fletchinder,Fire,Flying
Fletchling,Normal,Flying
Floatzel,Water,
Floette,Fairy,
Florges,Fairy,
Flygon,Ground,Dragon
Foongus,Grass,Poison
Forretress,Bug,Steel
Fraxure,Dragon,
Frillish,Water,Ghost
Froakie,Water,
Frogadier,Water,
Froslass,Ice,Ghost
Furfrou,Normal,
Furret,Normal,
Gabite,Dragon,Ground
Gallade,Psychic,Fighting
Galvantula,Bug,Electric
Garbodor,Poison,
Garchomp,Dragon,Ground
Gardevoir,Psychic,Fairy
Gastly,Ghost,Poison
Gastrodon,Water,Ground
Genesect,Bug,Steel
Gengar,Ghost,Poison
Geodude,Rock,Ground
Gible,Dragon,Ground
Gigalith,Rock,
Girafarig,Normal,Psychic
Glaceon,Ice,
Glalie,Ice,
Glameow,Normal,
Gligar,Ground,Flying
Gliscor,Ground,Flying
Gloom,Grass,Poison
Gogoat,Grass,
Golbat,Poison,Flying
Goldeen,Water,
Golduck,Water,
Golem,Rock,Ground
Golett,Ground,Ghost
Golurk,Ground,Ghost
Goodra,Dragon,
Goomy,Dragon,
Gorebyss,Water,
Gothita,Psychic,
Gothitelle,Psychic,
Gothorita,Psychic,
Granbull,Fairy,
Graveler,Rock,Ground
Greninja,Water,Dark
Grimer,Poison,
Grotle,Grass,
Groudon,Ground,
GroudonPrimal Groudon,Ground,Fire
Grovyle,Grass,
Growlithe,Fire,
Grumpig,Psychic,
Gulpin,Poison,
Gurdurr,Fighting,
Gyarados,Water,Flying
Happiny,Normal,
Hariyama,Fighting,
Haunter,Ghost,Poison
Hawlucha,Fighting,Flying
Haxorus,Dragon,
Heatmor,Fire,
Heatran,Fire,Steel
Heliolisk,Electric,Normal
Helioptile,Electric,Normal
Heracross,Bug,Fighting
Herdier,Normal,
Hippopotas,Ground,
Hippowdon,Ground,
Hitmonchan,Fighting,
Hitmonlee,Fighting,
Hitmontop,Fighting,
Ho-oh,Fire,Flying
Honchkrow,Dark,Flying
Honedge,Steel,Ghost
Hoothoot,Normal,Flying
Hoppip,Grass,Flying
Horsea,Water,
Houndoom,Dark,Fire
Houndour,Dark,Fire
Huntail,Water,
Hydreigon,Dark,Dragon
Hypno,Psychic,
Igglybuff,Normal,Fairy
Illumise,Bug,
Infernape,Fire,Fighting
Inkay,Dark,Psychic
Ivysaur,Grass,Poison
Jellicent,Water,Ghost
Jigglypuff,Normal,Fairy
Jirachi,Steel,Psychic
Jolteon,Electric,
Joltik,Bug,Electric
Jumpluff,Grass,Flying
Jynx,Ice,Psychic
Kabuto,Rock,Water
Kabutops,Rock,Water
Kadabra,Psychic,
Kakuna,Bug,Poison
Kangaskhan,Normal,
Karrablast,Bug,
Kecleon,Normal,
Kingdra,Water,Dragon
Kingler,Water,
Kirlia,Psychic,Fairy
Klang,Steel,
Klefki,Steel,Fairy
Klink,Steel,
Klinklang,Steel,
Koffing,Poison,
Krabby,Water,
Kricketot,Bug,
Kricketune,Bug,
Krokorok,Ground,Dark
Krookodile,Ground,Dark
Kyogre,Water,
KyogrePrimal Kyogre,Water,
Kyurem,Dragon,Ice
KyuremBlack Kyurem,Dragon,Ice
KyuremWhite Kyurem,Dragon,Ice
Lairon,Steel,Rock
Lampent,Ghost,Fire
Lanturn,Water,Electric
Lapras,Water,Ice
Larvesta,Bug,Fire
Larvitar,Rock,Ground
Latias,Dragon,Psychic
Latios,Dragon,Psychic
Leafeon,Grass,
Leavanny,Bug,Grass
Ledian,Bug,Flying
Ledyba,Bug,Flying
Lickilicky,Normal,
Lickitung,Normal,
Liepard,Dark,
Lileep,Rock,Grass
Lilligant,Grass,
Lillipup,Normal,
Linoone,Normal,
Litleo,Fire,Normal
Litwick,Ghost,Fire
Lombre,Water,Grass
Lopunny,Normal,
Lotad,Water,Grass
Loudred,Normal,
Lucario,Fighting,Steel
Ludicolo,Water,Grass
Lugia,Psychic,Flying
Lumineon,Water,
Lunatone,Rock,Psychic
Luvdisc,Water,
Luxio,Electric,
Luxray,Electric,
Machamp,Fighting,
Machoke,Fighting,
Machop,Fighting,
Magby,Fire,
Magcargo,Fire,Rock
Magikarp,Water,
Magmar,Fire,
Magmortar,Fire,
Magnemite,Electric,Steel
Magneton,Electric,Steel
Magnezone,Electric,Steel
Makuhita,Fighting,
Malamar,Dark,Psychic
Mamoswine,Ice,Ground
Manaphy,Water,
Mandibuzz,Dark,Flying
Manectric,Electric,
Mankey,Fighting,
Mantine,Water,Flying
Mantyke,Water,Flying
Maractus,Grass,
Mareep,Electric,
Marill,Water,Fairy
Marowak,Ground,
Marshtomp,Water,Ground
Masquerain,Bug,Flying
Mawile,Steel,Fairy
Medicham,Fighting,Psychic
Meditite,Fighting,Psychic
MeowsticFemale,Psychic,
MeowsticMale,Psychic,
Meowth,Normal,
Mesprit,Psychic,
Metagross,Steel,Psychic
Metang,Steel,Psychic
Metapod,Bug,
Mew,Psychic,
Mewtwo,Psychic,
Mienfoo,Fighting,
Mienshao,Fighting,
Mightyena,Dark,
Milotic,Water,
Miltank,Normal,
Mime Jr.,Psychic,Fairy
Minccino,Normal,
Minun,Electric,
Misdreavus,Ghost,
Mismagius,Ghost,
Moltres,Fire,Flying
Monferno,Fire,Fighting
Mothim,Bug,Flying
Mr. Mime,Psychic,Fairy
Mudkip,Water,
Muk,Poison,
Munchlax,Normal,
Munna,Psychic,
Murkrow,Dark,Flying
Musharna,Psychic,
Natu,Psychic,Flying
Nidoking,Poison,Ground
Nidoqueen,Poison,Ground
Nidoran♀,Poison,
Nidoran♂,Poison,
Nidorina,Poison,
Nidorino,Poison,
Nincada,Bug,Ground
Ninetales,Fire,
Ninjask,Bug,Flying
Noctowl,Normal,Flying
Noibat,Flying,Dragon
Noivern,Flying,Dragon
Nosepass,Rock,
Numel,Fire,Ground
Nuzleaf,Grass,Dark
Octillery,Water,
Oddish,Grass,Poison
Omanyte,Rock,Water
Omastar,Rock,Water
Onix,Rock,Ground
Oshawott,Water,
Pachirisu,Electric,
Palkia,Water,Dragon
Palpitoad,Water,Ground
Pancham,Fighting,
Pangoro,Fighting,Dark
Panpour,Water,
Pansage,Grass,
Pansear,Fire,
Paras,Bug,Grass
Parasect,Bug,Grass
Patrat,Normal,
Pawniard,Dark,Steel
Pelipper,Water,Flying
Persian,Normal,
Petilil,Grass,
Phanpy,Ground,
Phantump,Ghost,Grass
Phione,Water,
Pichu,Electric,
Pidgeot,Normal,Flying
Pidgeotto,Normal,Flying
Pidgey,Normal,Flying
Pidove,Normal,Flying
Pignite,Fire,Fighting
Pikachu,Electric,
Piloswine,Ice,Ground
Pineco,Bug,
Pinsir,Bug,
Piplup,Water,
Plusle,Electric,
Politoed,Water,
Poliwag,Water,
Poliwhirl,Water,
Poliwrath,Water,Fighting
Ponyta,Fire,
Poochyena,Dark,
Porygon,Normal,
Porygon-Z,Normal,
Porygon2,Normal,
Primeape,Fighting,
Prinplup,Water,
Probopass,Rock,Steel
Psyduck,Water,
Pupitar,Rock,Ground
Purrloin,Dark,
Purugly,Normal,
Pyroar,Fire,Normal
Quagsire,Water,Ground
Quilava,Fire,
Quilladin,Grass,
Qwilfish,Water,Poison
Raichu,Electric,
Raikou,Electric,
Ralts,Psychic,Fairy
Rampardos,Rock,
Rapidash,Fire,
Raticate,Normal,
Rattata,Normal,
Rayquaza,Dragon,Flying
Regice,Ice,
Regigigas,Normal,
Regirock,Rock,
Registeel,Steel,
Relicanth,Water,Rock
Remoraid,Water,
Reshiram,Dragon,Fire
Reuniclus,Psychic,
Rhydon,Ground,Rock
Rhyhorn,Ground,Rock
Rhyperior,Ground,Rock
Riolu,Fighting,
Roggenrola,Rock,
Roselia,Grass,Poison
Roserade,Grass,Poison
Rotom,Electric,Ghost
RotomFan Rotom,Electric,Flying
RotomFrost Rotom,Electric,Ice
RotomHeat Rotom,Electric,Fire
RotomMow Rotom,Electric,Grass
RotomWash Rotom,Electric,Water
Rufflet,Normal,Flying
Sableye,Dark,Ghost
Salamence,Dragon,Flying
Samurott,Water,
Sandile,Ground,Dark
Sandshrew,Ground,
Sandslash,Ground,
Sawk,Fighting,
Sawsbuck,Normal,Grass
Scatterbug,Bug,
Sceptile,Grass,
Scizor,Bug,Steel
Scolipede,Bug,Poison
Scrafty,Dark,Fighting
Scraggy,Dark,Fighting
Scyther,Bug,Flying
Seadra,Water,
Seaking,Water,
Sealeo,Ice,Water
Seedot,Grass,
Seel,Water,
Seismitoad,Water,Ground
Sentret,Normal,
Serperior,Grass,
Servine,Grass,
Seviper,Poison,
Sewaddle,Bug,Grass
Sharpedo,Water,Dark
Shedinja,Bug,Ghost
Shelgon,Dragon,
Shellder,Water,
Shellos,Water,
Shelmet,Bug,
Shieldon,Rock,Steel
Shiftry,Grass,Dark
Shinx,Electric,
Shroomish,Grass,
Shuckle,Bug,Rock
Shuppet,Ghost,
Sigilyph,Psychic,Flying
Silcoon,Bug,
Simipour,Water,
Simisage,Grass,
Simisear,Fire,
Skarmory,Steel,Flying
Skiddo,Grass,
Skiploom,Grass,Flying
Skitty,Normal,
Skorupi,Poison,Bug
Skrelp,Poison,Water
Skuntank,Poison,Dark
Slaking,Normal,
Slakoth,Normal,
Sliggoo,Dragon,
Slowbro,Water,Psychic
Slowking,Water,Psychic
Slowpoke,Water,Psychic
Slugma,Fire,
Slurpuff,Fairy,
Smeargle,Normal,
Smoochum,Ice,Psychic
Sneasel,Dark,Ice
Snivy,Grass,
Snorlax,Normal,
Snorunt,Ice,
Snover,Grass,Ice
Snubbull,Fairy,
Solosis,Psychic,
Solrock,Rock,Psychic
Spearow,Normal,Flying
Spewpa,Bug,
Spheal,Ice,Water
Spinarak,Bug,Poison
Spinda,Normal,
Spiritomb,Ghost,Dark
Spoink,Psychic,
Spritzee,Fairy,
Squirtle,Water,
Stantler,Normal,
Staraptor,Normal,Flying
Staravia,Normal,Flying
Starly,Normal,Flying
Starmie,Water,Psychic
Staryu,Water,
Steelix,Steel,Ground
Stoutland,Normal,
Stunfisk,Ground,Electric
Stunky,Poison,Dark
Sudowoodo,Rock,
Suicune,Water,
Sunflora,Grass,
Sunkern,Grass,
Surskit,Bug,Water
Swablu,Normal,Flying
Swadloon,Bug,Grass
Swalot,Poison,
Swampert,Water,Ground
Swanna,Water,Flying
Swellow,Normal,Flying
Swinub,Ice,Ground
Swirlix,Fairy,
Swoobat,Psychic,Flying
Sylveon,Fairy,
Taillow,Normal,Flying
Talonflame,Fire,Flying
Tangela,Grass,
Tangrowth,Grass,
Tauros,Normal,
Teddiursa,Normal,
Tentacool,Water,Poison
Tentacruel,Water,Poison
Tepig,Fire,
Terrakion,Rock,Fighting
Throh,Fighting,
Timburr,Fighting,
Tirtouga,Water,Rock
Togekiss,Fairy,Flying
Togepi,Fairy,
Togetic,Fairy,Flying
Torchic,Fire,
Torkoal,Fire,
Torterra,Grass,Ground
Totodile,Water,
Toxicroak,Poison,Fighting
Tranquill,Normal,Flying
Trapinch,Ground,
Treecko,Grass,
Trevenant,Ghost,Grass
Tropius,Grass,Flying
Trubbish,Poison,
Turtwig,Grass,
Tympole,Water,
Tynamo,Electric,
Typhlosion,Fire,
Tyranitar,Rock,Dark
Tyrantrum,Rock,Dragon
Tyrogue,Fighting,
Tyrunt,Rock,Dragon
Umbreon,Dark,
Unfezant,Normal,Flying
Unown,Psychic,
Ursaring,Normal,
Uxie,Psychic,
Vanillish,Ice,
Vanillite,Ice,
Vanilluxe,Ice,
Vaporeon,Water,
Venipede,Bug,Poison
Venomoth,Bug,Poison
Venonat,Bug,Poison
Venusaur,Grass,Poison
Vespiquen,Bug,Flying
Vibrava,Ground,Dragon
Victini,Psychic,Fire
Victreebel,Grass,Poison
Vigoroth,Normal,
Vileplume,Grass,Poison
Virizion,Grass,Fighting
Vivillon,Bug,Flying
Volbeat,Bug,
Volcanion,Fire,Water
Volcarona,Bug,Fire
Voltorb,Electric,
Vullaby,Dark,Flying
Vulpix,Fire,
Wailmer,Water,
Wailord,Water,
Walrein,Ice,Water
Wartortle,Water,
Watchog,Normal,
Weavile,Dark,Ice
Weedle,Bug,Poison
Weepinbell,Grass,Poison
Weezing,Poison,
Whimsicott,Grass,Fairy
Whirlipede,Bug,Poison
Whiscash,Water,Ground
Whismur,Normal,
Wigglytuff,Normal,Fairy
Wingull,Water,Flying
Wobbuffet,Psychic,
Woobat,Psychic,Flying
Wooper,Water,Ground
WormadamPlant Cloak,Bug,Grass
WormadamSandy Cloak,Bug,Ground
WormadamTrash Cloak,Bug,Steel
Wurmple,Bug,
Wynaut,Psychic,
Xatu,Psychic,Flying
Xerneas,Fairy,
Yamask,Ghost,
Yanma,Bug,Flying
Yanmega,Bug,Flying
Yveltal,Dark,Flying
Zangoose,Normal,
Zapdos,Electric,Flying
Zebstrika,Electric,
Zekrom,Dragon,Electric
Zigzagoon,Normal,
Zoroark,Dark,
Zorua,Dark,
Zubat,Poison,Flying
Zweilous,Dark,Dragon
